Training log at 2025-10-12 13:13:20
Epoch [67/100], time: 2025-10-12 14:33:29 
Loss: 2.2214, Accuracy: 44.49%
Epoch [68/100], time: 2025-10-12 14:34:41 
Loss: 2.2306, Accuracy: 44.57%
Epoch [69/100], time: 2025-10-12 14:35:53 
Loss: 2.1704, Accuracy: 45.96%
Epoch [70/100], time: 2025-10-12 14:37:05 
Loss: 2.1840, Accuracy: 44.95%
Epoch [71/100], time: 2025-10-12 14:38:17 
Loss: 2.1329, Accuracy: 46.48%
Epoch [72/100], time: 2025-10-12 14:39:28 
Loss: 2.1297, Accuracy: 46.73%
Epoch [73/100], time: 2025-10-12 14:40:40 
Loss: 2.1144, Accuracy: 46.99%
Epoch [74/100], time: 2025-10-12 14:41:52 
Loss: 2.1068, Accuracy: 47.65%
Epoch [75/100], time: 2025-10-12 14:43:04 
Loss: 2.0787, Accuracy: 48.06%
Epoch [76/100], time: 2025-10-12 14:44:16 
Loss: 2.0629, Accuracy: 48.63%
Epoch [77/100], time: 2025-10-12 14:45:28 
Loss: 2.0194, Accuracy: 49.00%
Epoch [78/100], time: 2025-10-12 14:46:39 
Loss: 2.0085, Accuracy: 49.09%
Epoch [79/100], time: 2025-10-12 14:47:51 
Loss: 2.0120, Accuracy: 49.14%
Epoch [80/100], time: 2025-10-12 14:49:03 
Loss: 1.9965, Accuracy: 49.64%
Epoch [81/100], time: 2025-10-12 14:50:14 
Loss: 1.9815, Accuracy: 50.53%
Epoch [82/100], time: 2025-10-12 14:51:26 
Loss: 1.9568, Accuracy: 50.73%
Epoch [83/100], time: 2025-10-12 14:52:38 
Loss: 1.9014, Accuracy: 52.33%
Epoch [84/100], time: 2025-10-12 14:53:49 
Loss: 1.9233, Accuracy: 51.81%
Epoch [85/100], time: 2025-10-12 14:55:01 
Loss: 1.9239, Accuracy: 51.45%
Epoch [86/100], time: 2025-10-12 14:56:13 
Loss: 1.8853, Accuracy: 52.77%
Epoch [87/100], time: 2025-10-12 14:57:25 
Loss: 1.8860, Accuracy: 52.42%
Epoch [88/100], time: 2025-10-12 14:58:36 
Loss: 1.8473, Accuracy: 53.27%
Epoch [89/100], time: 2025-10-12 14:59:48 
Loss: 1.8388, Accuracy: 53.90%
Epoch [90/100], time: 2025-10-12 15:01:00 
Loss: 1.8182, Accuracy: 54.62%
Epoch [91/100], time: 2025-10-12 15:02:12 
Loss: 1.8283, Accuracy: 53.83%
Epoch [92/100], time: 2025-10-12 15:03:24 
Loss: 1.8177, Accuracy: 54.45%
Epoch [93/100], time: 2025-10-12 15:04:35 
Loss: 1.7889, Accuracy: 54.88%
Epoch [94/100], time: 2025-10-12 15:05:47 
Loss: 1.7728, Accuracy: 55.06%
Epoch [95/100], time: 2025-10-12 15:06:59 
Loss: 1.7742, Accuracy: 55.01%
Epoch [96/100], time: 2025-10-12 15:08:11 
Loss: 1.7715, Accuracy: 55.48%
Epoch [97/100], time: 2025-10-12 15:09:23 
Loss: 1.7376, Accuracy: 56.41%
Epoch [98/100], time: 2025-10-12 15:10:35 
Loss: 1.7187, Accuracy: 56.50%
Epoch [99/100], time: 2025-10-12 15:11:47 
Loss: 1.7032, Accuracy: 56.73%
Epoch [100/100], time: 2025-10-12 15:12:58 
Loss: 1.7022, Accuracy: 56.88%

Validation Loss: 2.0013, Validation Accuracy: 50.55%
