Training log at 2025-10-12 16:24:40
Epoch [1/1000], time: 2025-10-12 16:25:52 
Loss: 5.2877, Accuracy: 0.86%
Epoch [2/1000], time: 2025-10-12 16:27:04 
Loss: 5.2031, Accuracy: 1.59%
Epoch [3/1000], time: 2025-10-12 16:28:15 
Loss: 5.1216, Accuracy: 2.05%
Epoch [4/1000], time: 2025-10-12 16:29:27 
Loss: 5.0330, Accuracy: 2.51%
Epoch [5/1000], time: 2025-10-12 16:30:39 
Loss: 4.9351, Accuracy: 3.10%
Epoch [6/1000], time: 2025-10-12 16:31:50 
Loss: 4.8422, Accuracy: 3.71%
Epoch [7/1000], time: 2025-10-12 16:33:02 
Loss: 4.7426, Accuracy: 4.27%
Epoch [8/1000], time: 2025-10-12 16:34:13 
Loss: 4.6474, Accuracy: 5.07%
Epoch [9/1000], time: 2025-10-12 16:35:25 
Loss: 4.5700, Accuracy: 5.67%
Epoch [10/1000], time: 2025-10-12 16:36:37 
Loss: 4.4677, Accuracy: 6.87%
Epoch [11/1000], time: 2025-10-12 16:37:49 
Loss: 4.4012, Accuracy: 7.19%
Epoch [12/1000], time: 2025-10-12 16:39:00 
Loss: 4.3278, Accuracy: 7.65%
Epoch [13/1000], time: 2025-10-12 16:40:12 
Loss: 4.2600, Accuracy: 8.36%
Epoch [14/1000], time: 2025-10-12 16:41:24 
Loss: 4.1876, Accuracy: 8.84%
Epoch [15/1000], time: 2025-10-12 16:42:36 
Loss: 4.1039, Accuracy: 9.85%
Epoch [16/1000], time: 2025-10-12 16:43:47 
Loss: 4.0511, Accuracy: 10.37%
Epoch [17/1000], time: 2025-10-12 16:44:59 
Loss: 3.9871, Accuracy: 11.03%
Epoch [18/1000], time: 2025-10-12 16:46:11 
Loss: 3.9226, Accuracy: 11.60%
Epoch [19/1000], time: 2025-10-12 16:47:22 
Loss: 3.8617, Accuracy: 13.24%
Epoch [20/1000], time: 2025-10-12 16:48:34 
Loss: 3.8360, Accuracy: 13.54%
Epoch [21/1000], time: 2025-10-12 16:49:45 
Loss: 3.7529, Accuracy: 14.51%
Epoch [22/1000], time: 2025-10-12 16:50:57 
Loss: 3.7322, Accuracy: 14.89%
Epoch [23/1000], time: 2025-10-12 16:52:09 
Loss: 3.6653, Accuracy: 15.56%
Epoch [24/1000], time: 2025-10-12 16:53:20 
Loss: 3.6202, Accuracy: 16.81%
Epoch [25/1000], time: 2025-10-12 16:54:32 
Loss: 3.5577, Accuracy: 17.62%
Epoch [26/1000], time: 2025-10-12 16:55:44 
Loss: 3.5070, Accuracy: 18.44%
Epoch [27/1000], time: 2025-10-12 16:56:55 
Loss: 3.4648, Accuracy: 18.65%
Epoch [28/1000], time: 2025-10-12 16:58:07 
Loss: 3.4552, Accuracy: 19.69%
Epoch [29/1000], time: 2025-10-12 16:59:18 
Loss: 3.3759, Accuracy: 20.73%
Epoch [30/1000], time: 2025-10-12 17:00:30 
Loss: 3.3520, Accuracy: 21.21%
Epoch [31/1000], time: 2025-10-12 17:01:41 
Loss: 3.3376, Accuracy: 21.38%
Epoch [32/1000], time: 2025-10-12 17:02:53 
Loss: 3.2840, Accuracy: 21.86%
Epoch [33/1000], time: 2025-10-12 17:04:05 
Loss: 3.2231, Accuracy: 23.16%
Epoch [34/1000], time: 2025-10-12 17:05:16 
Loss: 3.1765, Accuracy: 24.75%
Epoch [35/1000], time: 2025-10-12 17:06:28 
Loss: 3.1418, Accuracy: 24.23%
